id_vehiculo,VIN,id_cliente,sucursal,pais,modelo,anio
EV-ACME-00132,ACEMDLB11TE000132,CLI-00370,SUC-005,Colombia,Model B,2026
EV-ACME-00133,ACEMDLA13RF000133,CLI-00911,SUC-006,Argentina,Model A,2024
EV-ACME-00134,ACEMDLD17SE000134,CLI-00955,SUC-005,Colombia,Model D,2025
EV-ACME-00135,ACEMDLA12SF000135,CLI-00766,SUC-006,Argentina,Model A,2025
EV-ACME-00136,ACEMDLF17RC000136,CLI-00800,SUC-003,Honduras,Model F,2024
EV-ACME-00137,ACEMDLA17TF000137,CLI-00156,SUC-006,Argentina,Model A,2026
EV-ACME-00138,ACEMDLD17SK000138,CLI-00768,SUC-010,Perú,Model D,2025
EV-ACME-00139,ACEMDLD14TK000139,CLI-00789,SUC-010,Perú,Model D,2026
EV-ACME-00140,ACEMDLF12TA000140,CLI-00082,SUC-001,México,Model F,2026
EV-ACME-00141,ACEMDLF13RC000141,CLI-00463,SUC-003,Honduras,Model F,2024
EV-ACME-00142,ACEMDLE12RD000142,CLI-00777,SUC-004,Costa Rica,Model E,2024
EV-ACME-00143,ACEMDLA12RD000143,CLI-00247,SUC-004,Costa Rica,Model A,2024
EV-ACME-00144,ACEMDLB19RH000144,CLI-00780,SUC-008,Chile,Model B,2024
EV-ACME-00145,ACEMDLB17TF000145,CLI-00796,SUC-006,Argentina,Model B,2026
EV-ACME-00146,ACEMDLB14TA000146,CLI-00853,SUC-001,México,Model B,2026
EV-ACME-00147,ACEMDLB10SG000147,CLI-00304,SUC-007,Canadá,Model B,2025
EV-ACME-00148,ACEMDLA15TB000148,CLI-00488,SUC-002,Guatemala,Model A,2026
EV-ACME-00149,ACEMDLE16RJ000149,CLI-00982,SUC-009,Panamá,Model E,2024
EV-ACME-00150,ACEMDLB12TH000150,CLI-00601,SUC-008,Chile,Model B,2026
EV-ACME-00151,ACEMDLE17RA000151,CLI-00261,SUC-001,México,Model E,2024
EV-ACME-00152,ACEMDLC11SC000152,CLI-00503,SUC-003,Honduras,Model C,2025
EV-ACME-00153,ACEMDLC16RH000153,CLI-00124,SUC-008,Chile,Model C,2024
EV-ACME-00154,ACEMDLA16RB000154,CLI-00962,SUC-002,Guatemala,Model A,2024
EV-ACME-00155,ACEMDLE18RE000155,CLI-00592,SUC-005,Colombia,Model E,2024
EV-ACME-00156,ACEMDLC13RH000156,CLI-00515,SUC-008,Chile,Model C,2024
EV-ACME-00157,ACEMDLF15RH000157,CLI-00726,SUC-008,Chile,Model F,2024
EV-ACME-00158,ACEMDLE17RK000158,CLI-00565,SUC-010,Perú,Model E,2024
EV-ACME-00159,ACEMDLF15SA000159,CLI-00172,SUC-001,México,Model F,2025
EV-ACME-00160,ACEMDLB10RD000160,CLI-00422,SUC-004,Costa Rica,Model B,2024
EV-ACME-00161,ACEMDLA19TE000161,CLI-00806,SUC-005,Colombia,Model A,2026
EV-ACME-00162,ACEMDLC10RB000162,CLI-00919,SUC-002,Guatemala,Model C,2024
EV-ACME-00163,ACEMDLA15SF000163,CLI-00564,SUC-006,Argentina,Model A,2025
EV-ACME-00164,ACEMDLA10TK000164,CLI-00325,SUC-010,Perú,Model A,2026
EV-ACME-00165,ACEMDLB13TJ000165,CLI-00599,SUC-009,Panamá,Model B,2026
EV-ACME-00166,ACEMDLA17RG000166,CLI-00106,SUC-007,Canadá,Model A,2024
EV-ACME-00167,ACEMDLC14TC000167,CLI-00255,SUC-003,Honduras,Model C,2026
EV-ACME-00168,ACEMDLB16RJ000168,CLI-00406,SUC-009,Panamá,Model B,2024
EV-ACME-00169,ACEMDLA19TD000169,CLI-00464,SUC-004,Costa Rica,Model A,2026
EV-ACME-00170,ACEMDLE11RC000170,CLI-00809,SUC-003,Honduras,Model E,2024
EV-ACME-00171,ACEMDLE10SE000171,CLI-00806,SUC-005,Colombia,Model E,2025
EV-ACME-00172,ACEMDLB10SG000172,CLI-00762,SUC-007,Canadá,Model B,2025
EV-ACME-00173,ACEMDLF16TE000173,CLI-00579,SUC-005,Colombia,Model F,2026
EV-ACME-00174,ACEMDLE14RK000174,CLI-00397,SUC-010,Perú,Model E,2024
EV-ACME-00175,ACEMDLB10TE000175,CLI-00279,SUC-005,Colombia,Model B,2026
EV-ACME-00176,ACEMDLB14TA000176,CLI-00844,SUC-001,México,Model B,2026
EV-ACME-00177,ACEMDLC11SG000177,CLI-00212,SUC-007,Canadá,Model C,2025
EV-ACME-00178,ACEMDLF12RJ000178,CLI-00707,SUC-009,Panamá,Model F,2024
EV-ACME-00179,ACEMDLC17RD000179,CLI-00229,SUC-004,Costa Rica,Model C,2024
EV-ACME-00180,ACEMDLA11SB000180,CLI-00272,SUC-002,Guatemala,Model A,2025
EV-ACME-00181,ACEMDLD10TK000181,CLI-00862,SUC-010,Perú,Model D,2026
EV-ACME-00182,ACEMDLF17TH000182,CLI-00009,SUC-008,Chile,Model F,2026
EV-ACME-00183,ACEMDLA10TC000183,CLI-00895,SUC-003,Honduras,Model A,2026
EV-ACME-00184,ACEMDLC13RD000184,CLI-00151,SUC-004,Costa Rica,Model C,2024
EV-ACME-00185,ACEMDLD19TC000185,CLI-00875,SUC-003,Honduras,Model D,2026
EV-ACME-00186,ACEMDLB15TB000186,CLI-00145,SUC-002,Guatemala,Model B,2026
EV-ACME-00187,ACEMDLC19SK000187,CLI-00690,SUC-010,Perú,Model C,2025
EV-ACME-00188,ACEMDLF19TK000188,CLI-00516,SUC-010,Perú,Model F,2026
EV-ACME-00189,ACEMDLE15TG000189,CLI-00740,SUC-007,Canadá,Model E,2026
EV-ACME-00190,ACEMDLB15RC000190,CLI-00549,SUC-003,Honduras,Model B,2024
EV-ACME-00191,ACEMDLA18SG000191,CLI-00090,SUC-007,Canadá,Model A,2025
EV-ACME-00192,ACEMDLF19RC000192,CLI-00914,SUC-003,Honduras,Model F,2024
EV-ACME-00193,ACEMDLF18RF000193,CLI-00865,SUC-006,Argentina,Model F,2024
EV-ACME-00194,ACEMDLF10SA000194,CLI-00361,SUC-001,México,Model F,2025
EV-ACME-00195,ACEMDLE18RF000195,CLI-00113,SUC-006,Argentina,Model E,2024
EV-ACME-00196,ACEMDLC16SA000196,CLI-00261,SUC-001,México,Model C,2025
EV-ACME-00197,ACEMDLF18TE000197,CLI-00473,SUC-005,Colombia,Model F,2026
EV-ACME-00198,ACEMDLA16SE000198,CLI-00085,SUC-005,Colombia,Model A,2025
EV-ACME-00199,ACEMDLF16TE000199,CLI-00579,SUC-005,Colombia,Model F,2026
EV-ACME-00200,ACEMDLB11TC000200,CLI-00236,SUC-003,Honduras,Model B,2026
EV-ACME-00201,ACEMDLF17RE000201,CLI-00495,SUC-005,Colombia,Model F,2024
EV-ACME-00202,ACEMDLE12RK000202,CLI-00759,SUC-010,Perú,Model E,2024
EV-ACME-00203,ACEMDLB12TK000203,CLI-00542,SUC-010,Perú,Model B,2026
EV-ACME-00204,ACEMDLE14SD000204,CLI-00428,SUC-004,Costa Rica,Model E,2025
EV-ACME-00205,ACEMDLE12TC000205,CLI-00656,SUC-003,Honduras,Model E,2026
EV-ACME-00206,ACEMDLA13SF000206,CLI-00244,SUC-006,Argentina,Model A,2025
EV-ACME-00207,ACEMDLD14TF000207,CLI-00083,SUC-006,Argentina,Model D,2026
EV-ACME-00208,ACEMDLB11TD000208,CLI-00182,SUC-004,Costa Rica,Model B,2026
EV-ACME-00209,ACEMDLB12SH000209,CLI-00143,SUC-008,Chile,Model B,2025
EV-ACME-00210,ACEMDLC11TF000210,CLI-00507,SUC-006,Argentina,Model C,2026
EV-ACME-00211,ACEMDLA13SH000211,CLI-00964,SUC-008,Chile,Model A,2025
EV-ACME-00212,ACEMDLE16TC000212,CLI-00022,SUC-003,Honduras,Model E,2026
EV-ACME-00213,ACEMDLA11SE000213,CLI-00847,SUC-005,Colombia,Model A,2025
EV-ACME-00214,ACEMDLA19TD000214,CLI-00859,SUC-004,Costa Rica,Model A,2026
EV-ACME-00215,ACEMDLE14SB000215,CLI-00752,SUC-002,Guatemala,Model E,2025
EV-ACME-00216,ACEMDLF14SA000216,CLI-00906,SUC-001,México,Model F,2025
EV-ACME-00217,ACEMDLD10RG000217,CLI-00214,SUC-007,Canadá,Model D,2024
EV-ACME-00218,ACEMDLD17SH000218,CLI-00107,SUC-008,Chile,Model D,2025
EV-ACME-00219,ACEMDLF14TC000219,CLI-00320,SUC-003,Honduras,Model F,2026
EV-ACME-00220,ACEMDLF13TB000220,CLI-00013,SUC-002,Guatemala,Model F,2026
EV-ACME-00221,ACEMDLF15SC000221,CLI-00415,SUC-003,Honduras,Model F,2025
EV-ACME-00222,ACEMDLA14TA000222,CLI-00233,SUC-001,México,Model A,2026
EV-ACME-00223,ACEMDLE13SA000223,CLI-00844,SUC-001,México,Model E,2025
EV-ACME-00224,ACEMDLD11SK000224,CLI-00470,SUC-010,Perú,Model D,2025
EV-ACME-00225,ACEMDLB12RJ000225,CLI-00972,SUC-009,Panamá,Model B,2024
EV-ACME-00226,ACEMDLB18SD000226,CLI-00655,SUC-004,Costa Rica,Model B,2025
EV-ACME-00227,ACEMDLC13RE000227,CLI-00930,SUC-005,Colombia,Model C,2024
EV-ACME-00228,ACEMDLB14TA000228,CLI-00082,SUC-001,México,Model B,2026
EV-ACME-00229,ACEMDLB18RF000229,CLI-00105,SUC-006,Argentina,Model B,2024
EV-ACME-00230,ACEMDLE16TC000230,CLI-00823,SUC-003,Honduras,Model E,2026
EV-ACME-00231,ACEMDLF14SE000231,CLI-00743,SUC-005,Colombia,Model F,2025
EV-ACME-00232,ACEMDLE11TK000232,CLI-00269,SUC-010,Perú,Model E,2026
EV-ACME-00233,ACEMDLC15RD000233,CLI-00355,SUC-004,Costa Rica,Model C,2024
EV-ACME-00234,ACEMDLB12RE000234,CLI-00592,SUC-005,Colombia,Model B,2024
EV-ACME-00235,ACEMDLE19TE000235,CLI-00370,SUC-005,Colombia,Model E,2026
EV-ACME-00236,ACEMDLA11SC000236,CLI-00248,SUC-003,Honduras,Model A,2025
EV-ACME-00237,ACEMDLD14RF000237,CLI-00014,SUC-006,Argentina,Model D,2024
EV-ACME-00238,ACEMDLB12RH000238,CLI-00228,SUC-008,Chile,Model B,2024
EV-ACME-00239,ACEMDLD17SG000239,CLI-00671,SUC-007,Canadá,Model D,2025
EV-ACME-00240,ACEMDLE14TK000240,CLI-00945,SUC-010,Perú,Model E,2026
EV-ACME-00241,ACEMDLA16SK000241,CLI-00960,SUC-010,Perú,Model A,2025
EV-ACME-00242,ACEMDLB12TE000242,CLI-00437,SUC-005,Colombia,Model B,2026
EV-ACME-00243,ACEMDLD15RC000243,CLI-00480,SUC-003,Honduras,Model D,2024
EV-ACME-00244,ACEMDLF16SB000244,CLI-00231,SUC-002,Guatemala,Model F,2025
EV-ACME-00245,ACEMDLE17SA000245,CLI-00332,SUC-001,México,Model E,2025
EV-ACME-00246,ACEMDLF18RJ000246,CLI-00406,SUC-009,Panamá,Model F,2024
EV-ACME-00247,ACEMDLD12SA000247,CLI-00050,SUC-001,México,Model D,2025
EV-ACME-00248,ACEMDLB10TA000248,CLI-00386,SUC-001,México,Model B,2026
EV-ACME-00249,ACEMDLD19SF000249,CLI-00476,SUC-006,Argentina,Model D,2025
EV-ACME-00250,ACEMDLA18RK000250,CLI-00993,SUC-010,Perú,Model A,2024
EV-ACME-00251,ACEMDLF14RH000251,CLI-00696,SUC-008,Chile,Model F,2024
EV-ACME-00252,ACEMDLF16SB000252,CLI-00277,SUC-002,Guatemala,Model F,2025
EV-ACME-00253,ACEMDLF16SE000253,CLI-00825,SUC-005,Colombia,Model F,2025
EV-ACME-00254,ACEMDLD13SJ000254,CLI-00119,SUC-009,Panamá,Model D,2025
EV-ACME-00255,ACEMDLE11RK000255,CLI-00594,SUC-010,Perú,Model E,2024
EV-ACME-00256,ACEMDLA12RF000256,CLI-00564,SUC-006,Argentina,Model A,2024
EV-ACME-00257,ACEMDLE14TG000257,CLI-00719,SUC-007,Canadá,Model E,2026
EV-ACME-00258,ACEMDLF17SA000258,CLI-00748,SUC-001,México,Model F,2025
EV-ACME-00259,ACEMDLE15RB000259,CLI-00087,SUC-002,Guatemala,Model E,2024
EV-ACME-00260,ACEMDLA17SE000260,CLI-00495,SUC-005,Colombia,Model A,2025
EV-ACME-00261,ACEMDLA17SC000261,CLI-00415,SUC-003,Honduras,Model A,2025
EV-ACME-00262,ACEMDLB15TA000262,CLI-00141,SUC-001,México,Model B,2026
EV-ACME-00263,ACEMDLF13RF000263,CLI-00456,SUC-006,Argentina,Model F,2024
EV-ACME-00264,ACEMDLC15SK000264,CLI-00587,SUC-010,Perú,Model C,2025
EV-ACME-00265,ACEMDLC19SJ000265,CLI-00854,SUC-009,Panamá,Model C,2025
EV-ACME-00266,ACEMDLB16SC000266,CLI-00477,SUC-003,Honduras,Model B,2025
EV-ACME-00267,ACEMDLE10SJ000267,CLI-00199,SUC-009,Panamá,Model E,2025
EV-ACME-00268,ACEMDLB10TK000268,CLI-00594,SUC-010,Perú,Model B,2026
EV-ACME-00269,ACEMDLE14RB000269,CLI-00666,SUC-002,Guatemala,Model E,2024
EV-ACME-00270,ACEMDLA18SB000270,CLI-00300,SUC-002,Guatemala,Model A,2025
EV-ACME-00271,ACEMDLF17RC000271,CLI-00412,SUC-003,Honduras,Model F,2024
EV-ACME-00272,ACEMDLD18RD000272,CLI-00498,SUC-004,Costa Rica,Model D,2024
EV-ACME-00273,ACEMDLE12SC000273,CLI-00494,SUC-003,Honduras,Model E,2025
EV-ACME-00274,ACEMDLB14TE000274,CLI-00832,SUC-005,Colombia,Model B,2026
EV-ACME-00275,ACEMDLB17RK000275,CLI-00122,SUC-010,Perú,Model B,2024
EV-ACME-00276,ACEMDLE13RF000276,CLI-00014,SUC-006,Argentina,Model E,2024
EV-ACME-00277,ACEMDLC12SC000277,CLI-00320,SUC-003,Honduras,Model C,2025
EV-ACME-00278,ACEMDLA19SJ000278,CLI-00044,SUC-009,Panamá,Model A,2025
EV-ACME-00279,ACEMDLA18SG000279,CLI-00808,SUC-007,Canadá,Model A,2025
EV-ACME-00280,ACEMDLC11RB000280,CLI-00997,SUC-002,Guatemala,Model C,2024
EV-ACME-00281,ACEMDLE18TF000281,CLI-00687,SUC-006,Argentina,Model E,2026
EV-ACME-00282,ACEMDLA13TG000282,CLI-00106,SUC-007,Canadá,Model A,2026
EV-ACME-00283,ACEMDLF16SA000283,CLI-00675,SUC-001,México,Model F,2025
EV-ACME-00284,ACEMDLD10SH000284,CLI-00936,SUC-008,Chile,Model D,2025
EV-ACME-00285,ACEMDLE17RA000285,CLI-00989,SUC-001,México,Model E,2024
EV-ACME-00286,ACEMDLD11SJ000286,CLI-00599,SUC-009,Panamá,Model D,2025
EV-ACME-00287,ACEMDLD13RF000287,CLI-00577,SUC-006,Argentina,Model D,2024
EV-ACME-00288,ACEMDLA14TJ000288,CLI-00518,SUC-009,Panamá,Model A,2026
EV-ACME-00289,ACEMDLD18TG000289,CLI-00111,SUC-007,Canadá,Model D,2026
EV-ACME-00290,ACEMDLB12TE000290,CLI-00193,SUC-005,Colombia,Model B,2026
EV-ACME-00291,ACEMDLA14SC000291,CLI-00490,SUC-003,Honduras,Model A,2025
